AlarmCode,Unit,Level,Description,Type
149,1,1,Port2 CassetteUnoad Request T4timeout
150,1,1,Port2 CassetteUnoad Request T0timeout
151,1,1,Port2 CassetteUnoadComplete T1timeout
152,1,1,Port2 CassetteUnoadComplete T3timeout
153,1,1,Port2 CassetteUnoadComplete T0timeout
154,1,1,Port2   Process info Unmatch
155,1,1,Port2   Product Check   Error
156,1,1,Port2   No Dada Error
157,1,1,Port2   No GlassError
158,1,1,Port2 Process Request T2 Timeout
159,1,,
160,1,,
161,1,2,Port1   緊急停止動作異常
162,1,2,Port1   上上極限檢知異常
163,1,2,Port1   伺服上極限檢知異常
164,1,2,Port1   伺服下極限異常檢知
165,1,2,Port1   Axis1 Error
166,1,2,Port1   防凸檢異常
167,1,2,Port1   FORK 檢異常
168,1,2,Port1   Stopper 前進異常
169,1,2,Port1   Stopper 後退異常
170,1,2,Port1   卡匣定位器前進異常
171,1,2,Port1   卡匣定位器後退異常
172,1,2,Port1   同步檢測異常
173,1,2,Port1   下降時有玻璃基板 Timeout
174,1,2,Port1   卡匣檢知異常
175,1,,
176,1,2,CV 21 Glass & Data Mismatch
177,1,2,
178,1,2,CV 21Y     變頻器  硬體異常
179,1,,
180,1,,
181,1,2,
182,1,2,
183,1,2,CV 17      Aligment(左)前進逾時
184,1,2,CV 17      Aligment(左)後退逾時
185,1,2,CV 17      Aligment(右)前進逾時
186,1,2,CV 17      Aligment(右)後退逾時
187,1,2,CV 17 Z 上極限檢知異常
188,1,2,CV 17 Z 下極限檢知異常
189,1,,CV 17 Transfer 上升逾時
190,1,,CV 17 Transfer 下降逾時
191,1,2,
192,1,2,CV 17X    變頻器  硬體異常
193,1,2,CV 17Y    變頻器  硬體異常
194,1,2,CV 17Z    變頻器  硬體異常
195,1,,CV 17 Glass & Data Mismatch
196,1,1,Port1 STK T3  Timeout
197,1,1,Port1 STK T6  Timeout
198,1,1,
199,1,1,
200,1,1,
201,1,1,
202,1,1,
203,1,1,
204,1,1,
205,1,1,
206,1,1,
207,1,1,
208,1,1,
209,1,1,
210,1,,
211,1,1,Port1 CassetteLoad Request T1 timeout
212,1,1,Port1 CassetteLoad Request T3 timeout
213,1,1,Port1 CassetteLoad Request T0 timeout
214,1,1,Port1 CassetteLoad Complete T1timeout
215,1,1,Port1 CassetteLoad Complete T3timeout
216,1,1,Port1 CassetteLoad Complete T0timeout
217,1,1,Port1 CassetteFlow In T1 timeout
218,1,1,Port1 CassetteFlow In T3 timeout
219,1,1,Port1 CassetteFlow In T0 timeout
220,1,1,
221,1,1,
222,1,1,
223,1,1,
224,1,1,
225,1,1,Port1 CassetteUnoad Request T1timeout
226,1,1,Port1 CassetteUnoad Request T3timeout
227,1,1,Port1 CassetteUnoad Request T0timeout
228,1,1,Port1 CassetteUnoad Request T2timeout
229,1,1,Port1 CassetteUnoad Request T4timeout
230,1,1,Port1 CassetteUnoad Request T0timeout
231,1,1,Port1 CassetteUnoadComplete T1timeout
232,1,1,Port1 CassetteUnoadComplete T3timeout
233,1,1,Port1 CassetteUnoadComplete T0timeout
234,1,1,Port1   Process info Unmatch
235,1,1,Port1   Product Check   Error
236,1,1,Port1   No Dada Error
237,1,1,Port1   No GlassError
238,1,,Port1 Process Request T2 Timeout
239,1,,
240,1,,
241,1,2,CV 09 頂PIN上升逾時
242,1,2,CV 09 頂PIN下降逾時
243,1,2,CV 09 Z 上極限檢知異常
244,1,2,CV 09 Z 下極限檢知異常
245,1,2,CV 09X    變頻器  硬體異常
246,1,2,CV 09Z    變頻器  硬體異常
247,1,2,CV 09 Glass & Data Mismatch
248,1,2,
249,1,2,
250,1,2,
251,1,2,CV 10X    變頻器  硬體異常
252,1,2,CV 10 Glass & Data Mismatch
253,1,2,
254,1,2,
255,1,,
256,1,2,
257,1,2,
258,1,2,
259,1,2,
260,1,2,
261,1,2,CV 11      Aligment(左)前進逾時
262,1,2,CV 11      Aligment(左)後退逾時
263,1,2,CV 11      Aligment(右)前進逾時
264,1,2,CV 11      Aligment(右)後退逾時
265,1,2,CV 11X    變頻器  硬體異常
266,1,2,CV 11 Glass & Data Mismatch
267,1,2,
268,1,2,
269,1,,
270,1,,
271,1,2,CV 12 頂PIN上升逾時
272,1,2,CV 12 頂PIN下降逾時
273,1,2,CV 12 Z 上極限檢知異常
